id,city,p_type,subtype,price,nb_bedrooms,living_area,kitchen_type,furnished,open_fire,terrace,garden,land_surface,plot_surface,building_state,facades,swim_pool,zip_code,year_of_construction,geolocation,province
20545324,waregem,other,bungalow,365000,3,130,installed,0,0,0,0,509,509,GOOD,4,0,8792,1988,"3.3613016,50.8880243",West Flanders
20542829,ramsel,house,house,530000,4,190,0,0,0,0,0,500,500,0,0,0,2230,2024,"4.8202208,51.0312016",Antwerp
20540837,steenokkerzeel perk,house,house,465000,5,164,hyper_equipped,0,0,0,0,649,649,GOOD,4,0,1820,1962,"4.4940717,50.9325563",Flemish Brabant
20539962,edegem,house,house,695000,4,200,hyper_equipped,0,0,0,0,324,324,AS_NEW,3,0,2650,0,"4.4191322,51.1632931",Antwerp
20522752,nieuwpoort,house,house,175000,1,63,0,0,0,0,0,190,190,GOOD,4,0,8620,0,"2.7670377,51.1368322",West Flanders
20542043,oud turnhout,house,house,845000,4,226,hyper_equipped,0,0,0,0,2145,2145,GOOD,4,Yes,2360,1985,"5.0048321,51.3166488",Antwerp
20520793,beveren leie,house,house,199000,3,163,0,0,0,0,0,201,201,GOOD,0,0,8791,1949,"3.3272587,50.8703457",West Flanders
20522947,ronse,house,house,259000,4,140,0,0,0,0,0,285,285,0,2,0,9600,1950,"3.5857535,50.7404943",East Flanders
20521587,mechelen,house,house,474000,3,153,hyper_equipped,0,0,0,0,35,35,AS_NEW,2,0,2800,2017,"4.4992424,51.0294565",Antwerp
20525594,wichelen,house,house,298000,3,180,installed,0,0,0,0,463,463,GOOD,3,0,9260,1984,"3.9769488,50.988948",East Flanders
20524160,molenbeek saint jean,house,house,750000,7,250,hyper_equipped,0,0,0,0,400,400,GOOD,3,0,1080,1962,"4.2858041,50.8467467",Brussels
20520944,dudzele,house,house,785000,8,510,installed,0,0,0,0,1119,1119,GOOD,3,0,8380,1953,"3.2275581,51.2742711",West Flanders
20487989,molenbeek saint jean,other,flat_studio,145000,0,46,installed,0,0,0,0,0,0,GOOD,2,0,1080,2008,"4.3074511,50.8546296",Brussels
20401012,evergem,apartment,apartment,199000,2,71,installed,1,0,0,0,0,0,GOOD,1,0,9940,1969,"3.723444,51.11721",East Flanders
20539134,mechelen,house,house,275000,3,126,0,0,0,0,0,80,80,0,2,0,2800,1899,"4.4934487,51.0208771",Antwerp
20539129,mehaigne,house,house,395000,4,164,installed,0,0,0,0,1060,1060,0,4,0,5310,1972,0,Namur
20539126,gentbrugge,house,house,369000,4,185,0,0,0,0,0,93,93,0,0,0,9050,1918,"3.7455165,51.0333206",East Flanders
20539125,sint denijs westrem,apartment,apartment,389000,3,122,0,0,0,0,0,0,0,GOOD,0,0,9051,1967,"3.6715065,51.0184262",East Flanders
20421580,knokke heist,house,house,695000,3,165,installed,0,0,0,0,208,208,JUST_RENOVATED,0,0,8300,2005,"3.3028286,51.3126362",West Flanders
